#Drug,Gene
CID000003158,P128674
CID000003158,P10803
CID000003158,P1128
CID000003158,P1129
CID000003158,P319100
CID000003158,P23596
CID000003158,P94233
CID000003158,P3274
CID000003158,P285601
CID000003158,P2827
CID000003158,P53831
CID000003158,P1902
CID000003158,P9152
CID000003158,P338557
CID000003158,P54716
CID000003158,P1234
CID000003158,P64582
CID000003158,P1230
CID000003158,P1813
CID000003158,P1232
CID000003158,P1233
CID000003158,P1133
CID000003158,P1132
CID000003158,P1131
CID000003158,P1238
CID000003158,P7852
CID000003158,P2837
CID000003158,P2835
CID000003158,P2834
CID000003158,P2832
CID000003158,P2831
CID000003158,P2830
CID000003158,P344561
CID000003158,P2652
CID000003158,P3354
CID000003158,P5737
CID000003158,P1241
CID000003158,P8811
CID000003158,P3351
CID000003158,P83550
CID000003158,P83551
CID000003158,P623
CID000003158,P2861
CID000003158,P64106
CID000003158,P3352
CID000003158,P339403
CID000003158,P153
CID000003158,P6536
CID000003158,P3269
CID000003158,P6534
CID000003158,P6535
CID000003158,P6532
CID000003158,P6533
CID000003158,P6530
CID000003158,P6531
CID000003158,P155
CID000003158,P9038
CID000003158,P134864
CID000003158,P6538
CID000003158,P6539
CID000003158,P554
CID000003158,P4829
CID000003158,P5540
CID000003158,P3361
CID000003158,P3362
CID000003158,P3363
CID000003158,P186
CID000003158,P187
CID000003158,P185
CID000003158,P2587
CID000003158,P9293
CID000003158,P5021
CID000003158,P57007
CID000003158,P4986
CID000003158,P56413
CID000003158,P10316
CID000003158,P340024
CID000003158,P6529
CID000003158,P8477
CID000003158,P4157
CID000003158,P84109
CID000003158,P2925
CID000003158,P5956
CID000003158,P6752
CID000003158,P6753
CID000003158,P350383
CID000003158,P6751
CID000003158,P6754
CID000003158,P6755
CID000003158,P2693
CID000003158,P11254
CID000003158,P151
CID000003158,P150
CID000003158,P2862
CID000003158,P2863
CID000003158,P887
CID000003158,P886
CID000003158,P348932
CID000003158,P4886
CID000003158,P552
CID000003158,P59340
CID000003158,P3062
CID000003158,P3061
CID000003158,P152
CID000003158,P27201
CID000003158,P4923
CID000003158,P1816
CID000003158,P5729
CID000003158,P4161
CID000003158,P4160
CID000003158,P11245
CID000003158,P7201
CID000003158,P139760
CID000003158,P146
CID000003158,P147
CID000003158,P134391
CID000003158,P140
CID000003158,P51289
CID000003158,P611
CID000003158,P148
CID000003158,P3355
CID000003158,P5734
CID000003158,P3357
CID000003158,P3356
CID000003158,P5731
CID000003158,P3350
CID000003158,P5733
CID000003158,P5732
CID000003158,P5739
CID000003158,P3358
CID000003158,P23620
CID000003158,P5995
CID000003158,P6915
CID000003158,P1812
CID000003158,P6540
CID000003158,P4158
CID000003158,P4159
CID000003158,P11250
CID000003158,P1814
CID000003158,P8484
CID000003158,P81491
CID000003158,P680
CID000003158,P11255
CID000003397,P367
CID000068740,P4313
CID000068740,P771
CID000068740,P4317
CID000068740,P760
CID000068740,P9453
CID000068740,P23590
CID000068740,P57107
CID000068740,P23623
CID000068740,P4323
CID000068740,P2224
CID000001065,P1129
CID005311181,P5739
CID000104741,P10062
CID000104741,P5467
CID000104741,P2649
CID000104741,P2908
CID000104741,P5916
CID000104741,P190
CID000104741,P2099
CID000104741,P4306
CID000104741,P9971
CID000104741,P9970
CID000104741,P367
CID000104741,P8431
CID000104741,P2103
CID000104741,P7101
CID000104741,P5465
CID000104741,P7026
CID000104741,P7025
CID000104741,P5914
CID000104741,P5468
CID000104741,P7182
CID000104741,P2063
CID000104741,P7068
CID000104741,P7067
CID000104741,P5241
CID000104741,P7376
CID000104741,P6256
CID000104741,P6258
CID000104741,P7421
CID000104741,P5915
CID000104741,P7181
CID000104741,P2101
CID000104741,P2100
CID000104741,P6257
CID000104741,P8856
CID000104741,P2104
CID000005578,P9249
CID000005578,P147015
CID000005578,P873
CID000005578,P317749
CID000005578,P207063
CID000005578,P145226
CID000005578,P3292
CID000005578,P388963
CID000005578,P51171
CID000005578,P115817
CID000005578,P3290
CID000005578,P157506
CID000005578,P56898
CID000005578,P200895
CID000005578,P1719
CID000005578,P7298
CID000005578,P345275
CID000005578,P55825
CID000005578,P10202
CID000005578,P57665
CID000005578,P195814
CID000005578,P84263
CID000005578,P201140
CID000005578,P3248
CID000005578,P26063
CID000005578,P79758
CID000005578,P84869
CID000005578,P51170
CID000005578,P50700
CID000005578,P25979
CID000005578,P1666
CID000005578,P874
CID000005578,P51109
CID000003825,P9120
CID000003825,P9121
CID000003825,P23539
CID000003825,P155184
CID000003825,P5742
CID000003825,P6580
CID000003825,P116085
CID000003825,P387700
CID000003825,P6518
CID000003825,P220963
CID000003825,P6513
CID000003825,P6514
CID000003825,P6515
CID000003825,P6517
CID000003825,P64747
CID000003825,P66035
CID000003825,P162515
CID000003825,P124976
CID000003825,P9899
CID000003825,P6582
CID000003825,P55530
CID000003825,P56606
CID000003825,P114571
CID000003825,P9376
CID000003825,P117247
CID000003825,P10786
CID000003825,P9197
CID000003825,P113655
CID000003825,P55867
CID000003825,P63027
CID000003825,P22987
CID000003825,P201305
CID000003825,P6566
CID000003825,P387775
CID000003825,P5743
CID000003825,P144195
CID000003825,P387601
CID000003825,P10864
CID000003385,P151531
CID000003385,P7378
CID000003385,P7298
CID000003385,P2232
CID000003385,P54963
CID000003385,P1723
CID000003385,P3728
CID000003385,P139596
CID000003385,P1499
CID000104865,P1269
CID000104865,P124274
CID000104865,P2849
CID000104865,P2847
CID000104865,P2844
CID000104865,P2845
CID000104865,P2842
CID000104865,P54112
CID000104865,P136
CID000104865,P135
CID000104865,P134
CID000104865,P10692
CID000104865,P9287
CID000104865,P9283
CID000104865,P4985
CID000104865,P4987
CID000104865,P10663
CID000104865,P4988
CID000104865,P27201
CID000104865,P4889
CID000104865,P221391
CID000104865,P2850
CID000104865,P84539
CID000104865,P84634
CID000104865,P4887
CID000104865,P54329
CID000104865,P54328
CID000104865,P10886
CID000104865,P10887
CID000104865,P729230
CID000104865,P23566
CID000104865,P10888
CID000104865,P9170
CID000104865,P6010
CID000104865,P56923
CID000104865,P2798
CID000104865,P128674
CID000104865,P10803
CID000104865,P319100
CID000104865,P23596
CID000104865,P94233
CID000104865,P3274
CID000104865,P285601
CID000104865,P2827
CID000104865,P53831
CID000104865,P1902
CID000104865,P338557
CID000104865,P1234
CID000104865,P1230
CID000104865,P1813
CID000104865,P1232
CID000104865,P1233
CID000104865,P1238
CID000104865,P2837
CID000104865,P2835
CID000104865,P2834
CID000104865,P2832
CID000104865,P2831
CID000104865,P2830
CID000104865,P344561
CID000104865,P2652
CID000104865,P3354
CID000104865,P5737
CID000104865,P1241
CID000104865,P8811
CID000104865,P3351
CID000104865,P83550
CID000104865,P3350
CID000104865,P623
CID000104865,P2861
CID000104865,P64106
CID000104865,P3352
CID000104865,P339403
CID000104865,P153
CID000104865,P7852
CID000104865,P83873
CID000104865,P152
CID000104865,P155
CID000104865,P9038
CID000104865,P134864
CID000104865,P64582
CID000104865,P4829
CID000104865,P5540
CID000104865,P3361
CID000104865,P3362
CID000104865,P3363
CID000104865,P186
CID000104865,P187
CID000104865,P185
CID000104865,P2587
CID000104865,P9293
CID000104865,P5021
CID000104865,P57007
CID000104865,P4986
CID000104865,P118442
CID000104865,P8477
CID000104865,P4157
CID000104865,P84109
CID000104865,P2925
CID000104865,P5956
CID000104865,P6752
CID000104865,P6753
CID000104865,P350383
CID000104865,P6751
CID000104865,P6754
CID000104865,P6755
CID000104865,P2693
CID000104865,P151
CID000104865,P150
CID000104865,P2862
CID000104865,P2863
CID000104865,P887
CID000104865,P886
CID000104865,P554
CID000104865,P4886
CID000104865,P552
CID000104865,P59340
CID000104865,P3062
CID000104865,P3061
CID000104865,P4923
CID000104865,P1816
CID000104865,P5729
CID000104865,P4161
CID000104865,P4160
CID000104865,P11245
CID000104865,P7201
CID000104865,P139760
CID000104865,P146
CID000104865,P147
CID000104865,P134391
CID000104865,P140
CID000104865,P51289
CID000104865,P611
CID000104865,P148
CID000104865,P3355
CID000104865,P5734
CID000104865,P3357
CID000104865,P3356
CID000104865,P5731
CID000104865,P10316
CID000104865,P5733
CID000104865,P5732
CID000104865,P5739
CID000104865,P3358
CID000104865,P23620
CID000104865,P5995
CID000104865,P56413
CID000104865,P1812
CID000104865,P6915
CID000104865,P4158
CID000104865,P4159
CID000104865,P11250
CID000104865,P1814
CID000104865,P8484
CID000104865,P81491
CID000104865,P83551
CID000104865,P680
CID000104865,P11255
CID000060198,P1588
CID000002130,P6582
CID000003148,P3757
CID000002801,P1142
CID000002801,P1143
CID000002801,P1140
CID000002801,P1141
CID000002801,P1146
CID000002801,P1144
CID000002801,P1145
CID000002801,P2847
CID000002801,P2844
CID000002801,P2845
CID000002801,P2842
CID000002801,P1269
CID000002801,P54112
CID000002801,P136
CID000002801,P135
CID000002801,P134
CID000002801,P124274
CID000002801,P10692
CID000002801,P118442
CID000002801,P55117
CID000002801,P9287
CID000002801,P2849
CID000002801,P9283
CID000002801,P28968
CID000002801,P4985
CID000002801,P4987
CID000002801,P10663
CID000002801,P4988
CID000002801,P388662
CID000002801,P285242
CID000002801,P4889
CID000002801,P221391
CID000002801,P2850
CID000002801,P84539
CID000002801,P84634
CID000002801,P4887
CID000002801,P54329
CID000002801,P54328
CID000002801,P10886
CID000002801,P10887
CID000002801,P729230
CID000002801,P9177
CID000002801,P23566
CID000002801,P10888
CID000002801,P9170
CID000002801,P6010
CID000002801,P56923
CID000002801,P83873
CID000002801,P6752
CID000002801,P2798
CID000002801,P128674
CID000002801,P55584
CID000002801,P8973
CID000002801,P10803
CID000002801,P1128
CID000002801,P89832
CID000002801,P319100
CID000002801,P23596
CID000002801,P7852
CID000002801,P94233
CID000002801,P3274
CID000002801,P285601
CID000002801,P2827
CID000002801,P53831
CID000002801,P1902
CID000002801,P9152
CID000002801,P338557
CID000002801,P1132
CID000002801,P54716
CID000002801,P1234
CID000002801,P64582
CID000002801,P1139
CID000002801,P1138
CID000002801,P1230
CID000002801,P1813
CID000002801,P1232
CID000002801,P1233
CID000002801,P170572
CID000002801,P1137
CID000002801,P1131
CID000002801,P1238
CID000002801,P1136
CID000002801,P1135
CID000002801,P1134
CID000002801,P2837
CID000002801,P2835
CID000002801,P2834
CID000002801,P2832
CID000002801,P2831
CID000002801,P2830
CID000002801,P344561
CID000002801,P2652
CID000002801,P3354
CID000002801,P5737
CID000002801,P1241
CID000002801,P57053
CID000002801,P8811
CID000002801,P3351
CID000002801,P83550
CID000002801,P83551
CID000002801,P623
CID000002801,P2861
CID000002801,P64106
CID000002801,P3352
CID000002801,P339403
CID000002801,P153
CID000002801,P6536
CID000002801,P3269
CID000002801,P6534
CID000002801,P6535
CID000002801,P6532
CID000002801,P6533
CID000002801,P6530
CID000002801,P6531
CID000002801,P155
CID000002801,P9038
CID000002801,P134864
CID000002801,P6538
CID000002801,P6539
CID000002801,P554
CID000002801,P4829
CID000002801,P3359
CID000002801,P5540
CID000002801,P3361
CID000002801,P3362
CID000002801,P3363
CID000002801,P186
CID000002801,P187
CID000002801,P185
CID000002801,P2587
CID000002801,P9293
CID000002801,P5021
CID000002801,P57007
CID000002801,P4986
CID000002801,P56413
CID000002801,P10316
CID000002801,P340024
CID000002801,P6529
CID000002801,P8477
CID000002801,P4157
CID000002801,P84109
CID000002801,P2925
CID000002801,P5956
CID000002801,P1129
CID000002801,P6753
CID000002801,P350383
CID000002801,P6751
CID000002801,P6754
CID000002801,P6755
CID000002801,P2693
CID000002801,P11254
CID000002801,P151
CID000002801,P150
CID000002801,P2862
CID000002801,P2863
CID000002801,P887
CID000002801,P886
CID000002801,P348932
CID000002801,P4886
CID000002801,P552
CID000002801,P59340
CID000002801,P3062
CID000002801,P3061
CID000002801,P152
CID000002801,P27201
CID000002801,P4923
CID000002801,P1816
CID000002801,P5729
CID000002801,P4161
CID000002801,P4160
CID000002801,P11245
CID000002801,P7201
CID000002801,P139760
CID000002801,P1565
CID000002801,P146
CID000002801,P147
CID000002801,P134391
CID000002801,P140
CID000002801,P51289
CID000002801,P611
CID000002801,P1133
CID000002801,P148
CID000002801,P3355
CID000002801,P5734
CID000002801,P3357
CID000002801,P3356
CID000002801,P5731
CID000002801,P3350
CID000002801,P5733
CID000002801,P5732
CID000002801,P200909
CID000002801,P5739
CID000002801,P3358
CID000002801,P23620
CID000002801,P5995
CID000002801,P6915
CID000002801,P1812
CID000002801,P6540
CID000002801,P4158
CID000002801,P4159
CID000002801,P11250
CID000002801,P1814
CID000002801,P8484
CID000002801,P81491
CID000002801,P680
CID000002801,P11255
CID000176870,P5159
CID000176870,P3718
CID000176870,P10188
CID000176870,P11309
CID000176870,P5607
CID000176870,P238
CID000176870,P4058
CID000176870,P6714
CID000176870,P8569
CID000176870,P2322
CID000176870,P2321
CID000176870,P4067
CID000176870,P2324
CID000176870,P7075
CID000176870,P11113
CID000176870,P285220
CID000176870,P3791
CID000176870,P5979
CID000176870,P8711
CID000176870,P51086
CID000176870,P80122
CID000176870,P2872
CID000176870,P2444
CID000176870,P2580
CID000176870,P120892
CID000176870,P4233
CID000176870,P2044
CID000176870,P6795
CID000176870,P6793
CID000176870,P2049
CID000176870,P1454
CID000176870,P640
CID000176870,P8767
CID000176870,P25
CID000176870,P7525
CID000176870,P2064
CID000176870,P1576
CID000176870,P2066
CID000004440,P3351
CID000004440,P3350
CID000004440,P3352
CID000004449,P1269
CID000004449,P124274
CID000004449,P2849
CID000004449,P2847
CID000004449,P2844
CID000004449,P2845
CID000004449,P2842
CID000004449,P54112
CID000004449,P136
CID000004449,P135
CID000004449,P134
CID000004449,P10692
CID000004449,P118442
CID000004449,P55117
CID000004449,P9287
CID000004449,P9283
CID000004449,P28968
CID000004449,P4985
CID000004449,P4987
CID000004449,P10663
CID000004449,P4988
CID000004449,P388662
CID000004449,P4889
CID000004449,P221391
CID000004449,P2850
CID000004449,P84539
CID000004449,P84634
CID000004449,P4887
CID000004449,P54329
CID000004449,P54328
CID000004449,P10886
CID000004449,P10887
CID000004449,P729230
CID000004449,P23566
CID000004449,P10888
CID000004449,P9170
CID000004449,P6010
CID000004449,P56923
CID000004449,P83873
CID000004449,P2798
CID000004449,P128674
CID000004449,P10803
CID000004449,P1128
CID000004449,P1129
CID000004449,P319100
CID000004449,P23596
CID000004449,P94233
CID000004449,P3274
CID000004449,P285601
CID000004449,P2827
CID000004449,P53831
CID000004449,P1902
CID000004449,P9152
CID000004449,P338557
CID000004449,P54716
CID000004449,P1234
CID000004449,P64582
CID000004449,P1230
CID000004449,P1813
CID000004449,P1232
CID000004449,P1233
CID000004449,P1133
CID000004449,P1132
CID000004449,P1131
CID000004449,P1238
CID000004449,P7852
CID000004449,P2837
CID000004449,P2835
CID000004449,P2834
CID000004449,P2832
CID000004449,P2831
CID000004449,P2830
CID000004449,P344561
CID000004449,P2652
CID000004449,P5734
CID000004449,P5737
CID000004449,P5243
CID000004449,P1241
CID000004449,P8811
CID000004449,P3351
CID000004449,P83550
CID000004449,P83551
CID000004449,P623
CID000004449,P2861
CID000004449,P64106
CID000004449,P3352
CID000004449,P339403
CID000004449,P153
CID000004449,P6536
CID000004449,P3269
CID000004449,P6534
CID000004449,P6535
CID000004449,P6532
CID000004449,P6533
CID000004449,P6530
CID000004449,P6531
CID000004449,P155
CID000004449,P9038
CID000004449,P134864
CID000004449,P6538
CID000004449,P6539
CID000004449,P554
CID000004449,P4829
CID000004449,P5540
CID000004449,P3361
CID000004449,P3362
CID000004449,P3363
CID000004449,P186
CID000004449,P187
CID000004449,P185
CID000004449,P2587
CID000004449,P9293
CID000004449,P5021
CID000004449,P57007
CID000004449,P4986
CID000004449,P56413
CID000004449,P10316
CID000004449,P340024
CID000004449,P6529
CID000004449,P8477
CID000004449,P4157
CID000004449,P84109
CID000004449,P2925
CID000004449,P5956
CID000004449,P6752
CID000004449,P6753
CID000004449,P350383
CID000004449,P6751
CID000004449,P6754
CID000004449,P6755
CID000004449,P2693
CID000004449,P11254
CID000004449,P151
CID000004449,P150
CID000004449,P2862
CID000004449,P2863
CID000004449,P887
CID000004449,P886
CID000004449,P348932
CID000004449,P4886
CID000004449,P552
CID000004449,P59340
CID000004449,P3062
CID000004449,P3061
CID000004449,P152
CID000004449,P27201
CID000004449,P4923
CID000004449,P1816
CID000004449,P5729
CID000004449,P4161
CID000004449,P4160
CID000004449,P11245
CID000004449,P7201
CID000004449,P139760
CID000004449,P146
CID000004449,P147
CID000004449,P134391
CID000004449,P140
CID000004449,P51289
CID000004449,P611
CID000004449,P148
CID000004449,P3355
CID000004449,P3354
CID000004449,P3357
CID000004449,P3356
CID000004449,P5731
CID000004449,P3350
CID000004449,P5733
CID000004449,P5732
CID000004449,P5739
CID000004449,P3358
CID000004449,P23620
CID000004449,P5995
CID000004449,P6915
CID000004449,P1812
CID000004449,P6540
CID000004449,P4158
CID000004449,P4159
CID000004449,P11250
CID000004449,P680
CID000004449,P1814
CID000004449,P8484
CID000004449,P81491
CID000004449,P1576
CID000004449,P11255
CID000072054,P1128
CID000072054,P1129
CID000072054,P1133
CID000072054,P1132
CID000072054,P1131
CID000072054,P3269
CID000003937,P1636
CID000119182,P1633
CID000004054,P2903
CID000004054,P2902
CID000004054,P2906
CID000004054,P2905
CID000004054,P2904
CID000060164,P5915
CID000060164,P5914
CID000060164,P5916
CID000004485,P169355
CID000004485,P135
CID000004485,P134
CID000004485,P8989
CID000004485,P1544
CID000004485,P11280
CID000004485,P6328
CID000004485,P775
CID000004485,P774
CID000004485,P776
CID000004485,P773
CID000004485,P3620
CID000004485,P779
CID000004485,P778
CID000004485,P3356
CID000004485,P729230
CID000004485,P117144
CID000004485,P259232
CID000004485,P6334
CID000004485,P8913
CID000004485,P6336
CID000004485,P6331
CID000004485,P1576
CID000123631,P558
CID000123631,P2065
CID000123631,P5607
CID000123631,P3654
CID000123631,P388228
CID000123631,P8569
CID000123631,P147746
CID000123631,P2322
CID000123631,P3055
CID000123631,P4067
CID000123631,P2324
CID000123631,P285220
CID000123631,P3791
CID000123631,P8767
CID000123631,P2268
CID000123631,P51135
CID000123631,P80122
CID000123631,P2872
CID000123631,P2444
CID000123631,P2580
CID000123631,P6714
CID000123631,P5260
CID000123631,P23235
CID000123631,P1432
CID000123631,P6793
CID000123631,P1022
CID000123631,P695
CID000123631,P2049
CID000123631,P1454
CID000123631,P5979
CID000123631,P25
CID000123631,P2064
CID000123631,P2050
CID000123631,P2066
CID000005572,P1128
CID000005572,P1129
CID000005572,P1133
CID000005572,P1132
CID000005572,P1131
CID000005572,P3269
CID000039860,P1269
CID000039860,P124274
CID000039860,P2849
CID000039860,P2847
CID000039860,P2844
CID000039860,P2845
CID000039860,P2842
CID000039860,P54112
CID000039860,P136
CID000039860,P135
CID000039860,P134
CID000039860,P10692
CID000039860,P9287
CID000039860,P9283
CID000039860,P4985
CID000039860,P4987
CID000039860,P10663
CID000039860,P4988
CID000039860,P27201
CID000039860,P4889
CID000039860,P221391
CID000039860,P2850
CID000039860,P84539
CID000039860,P84634
CID000039860,P4887
CID000039860,P54329
CID000039860,P54328
CID000039860,P10886
CID000039860,P10887
CID000039860,P729230
CID000039860,P23566
CID000039860,P10888
CID000039860,P9170
CID000039860,P6010
CID000039860,P56923
CID000039860,P2798
CID000039860,P128674
CID000039860,P10803
CID000039860,P319100
CID000039860,P23596
CID000039860,P94233
CID000039860,P3274
CID000039860,P285601
CID000039860,P2827
CID000039860,P53831
CID000039860,P1902
CID000039860,P338557
CID000039860,P1234
CID000039860,P1230
CID000039860,P1813
CID000039860,P1232
CID000039860,P1233
CID000039860,P1238
CID000039860,P2837
CID000039860,P2835
CID000039860,P2834
CID000039860,P2832
CID000039860,P2831
CID000039860,P2830
CID000039860,P344561
CID000039860,P2652
CID000039860,P3354
CID000039860,P5737
CID000039860,P1241
CID000039860,P8811
CID000039860,P3351
CID000039860,P83550
CID000039860,P3350
CID000039860,P623
CID000039860,P2861
CID000039860,P64106
CID000039860,P3352
CID000039860,P339403
CID000039860,P153
CID000039860,P7852
CID000039860,P83873
CID000039860,P152
CID000039860,P155
CID000039860,P9038
CID000039860,P134864
CID000039860,P64582
CID000039860,P4829
CID000039860,P5540
CID000039860,P3361
CID000039860,P3362
CID000039860,P3363
CID000039860,P186
CID000039860,P187
CID000039860,P185
CID000039860,P2587
CID000039860,P9293
CID000039860,P5021
CID000039860,P57007
CID000039860,P4986
CID000039860,P118442
CID000039860,P8477
CID000039860,P4157
CID000039860,P84109
CID000039860,P2925
CID000039860,P5956
CID000039860,P6752
CID000039860,P6753
CID000039860,P350383
CID000039860,P6751
CID000039860,P6754
CID000039860,P6755
CID000039860,P2693
CID000039860,P151
CID000039860,P150
CID000039860,P2862
CID000039860,P2863
CID000039860,P887
CID000039860,P886
CID000039860,P554
CID000039860,P4886
CID000039860,P552
CID000039860,P59340
CID000039860,P3062
CID000039860,P3061
CID000039860,P4923
CID000039860,P1816
CID000039860,P5729
CID000039860,P4161
CID000039860,P4160
CID000039860,P11245
CID000039860,P7201
CID000039860,P139760
CID000039860,P146
CID000039860,P147
CID000039860,P134391
CID000039860,P140
CID000039860,P51289
CID000039860,P611
CID000039860,P148
CID000039860,P3355
CID000039860,P5734
CID000039860,P3357
CID000039860,P3356
CID000039860,P5731
CID000039860,P10316
CID000039860,P5733
CID000039860,P5732
CID000039860,P5739
CID000039860,P3358
CID000039860,P23620
CID000039860,P5995
CID000039860,P56413
CID000039860,P1812
CID000039860,P6915
CID000039860,P4158
CID000039860,P4159
CID000039860,P11250
CID000039860,P1814
CID000039860,P8484
CID000039860,P81491
CID000039860,P83551
CID000039860,P680
CID000039860,P11255
CID000003007,P6536
CID000003007,P55117
CID000003007,P6540
CID000003007,P348932
CID000003007,P54716
CID000003007,P9152
CID000003007,P6533
CID000003007,P28968
CID000003007,P6534
CID000003007,P6535
CID000003007,P6532
CID000003007,P340024
CID000003007,P6530
CID000003007,P6531
CID000003007,P6529
CID000003007,P11254
CID000003007,P6539
CID000003007,P388662
CID000003007,P6538
CID000003007,P3350
CID000004140,P1269
CID000004140,P124274
CID000004140,P2849
CID000004140,P2847
CID000004140,P2844
CID000004140,P2845
CID000004140,P2842
CID000004140,P54112
CID000004140,P136
CID000004140,P135
CID000004140,P134
CID000004140,P10692
CID000004140,P9287
CID000004140,P9283
CID000004140,P4985
CID000004140,P4987
CID000004140,P10663
CID000004140,P4988
CID000004140,P27201
CID000004140,P4889
CID000004140,P221391
CID000004140,P2850
CID000004140,P84539
CID000004140,P84634
CID000004140,P4887
CID000004140,P54329
CID000004140,P54328
CID000004140,P10886
CID000004140,P10887
CID000004140,P729230
CID000004140,P23566
CID000004140,P10888
CID000004140,P9170
CID000004140,P6010
CID000004140,P56923
CID000004140,P2798
CID000004140,P128674
CID000004140,P10803
CID000004140,P319100
CID000004140,P23596
CID000004140,P94233
CID000004140,P3274
CID000004140,P285601
CID000004140,P2827
CID000004140,P53831
CID000004140,P1902
CID000004140,P338557
CID000004140,P1234
CID000004140,P1230
CID000004140,P1813
CID000004140,P1232
CID000004140,P1233
CID000004140,P1238
CID000004140,P2837
CID000004140,P2835
CID000004140,P2834
CID000004140,P2832
CID000004140,P2831
CID000004140,P2830
CID000004140,P344561
CID000004140,P2652
CID000004140,P3354
CID000004140,P5737
CID000004140,P1241
CID000004140,P8811
CID000004140,P3351
CID000004140,P83550
CID000004140,P3350
CID000004140,P623
CID000004140,P2861
CID000004140,P64106
CID000004140,P3352
CID000004140,P339403
CID000004140,P153
CID000004140,P7852
CID000004140,P83873
CID000004140,P152
CID000004140,P155
CID000004140,P9038
CID000004140,P134864
CID000004140,P64582
CID000004140,P4829
CID000004140,P5540
CID000004140,P3361
CID000004140,P3362
CID000004140,P3363
CID000004140,P186
CID000004140,P187
CID000004140,P185
CID000004140,P2587
CID000004140,P9293
CID000004140,P5021
CID000004140,P57007
CID000004140,P4986
CID000004140,P118442
CID000004140,P8477
CID000004140,P4157
CID000004140,P84109
CID000004140,P2925
CID000004140,P5956
CID000004140,P6752
CID000004140,P6753
CID000004140,P350383
CID000004140,P6751
CID000004140,P6754
CID000004140,P6755
CID000004140,P2693
CID000004140,P151
CID000004140,P150
CID000004140,P2862
CID000004140,P2863
CID000004140,P887
CID000004140,P886
CID000004140,P554
CID000004140,P4886
CID000004140,P552
CID000004140,P59340
CID000004140,P3062
CID000004140,P3061
CID000004140,P4923
CID000004140,P1816
CID000004140,P5729
CID000004140,P4161
CID000004140,P4160
CID000004140,P11245
CID000004140,P7201
CID000004140,P139760
CID000004140,P146
CID000004140,P147
CID000004140,P134391
CID000004140,P140
CID000004140,P51289
CID000004140,P611
CID000004140,P148
CID000004140,P3355
CID000004140,P5734
CID000004140,P3357
CID000004140,P3356
CID000004140,P5731
CID000004140,P10316
CID000004140,P5733
CID000004140,P5732
CID000004140,P5739
CID000004140,P3358
CID000004140,P23620
CID000004140,P5995
CID000004140,P56413
CID000004140,P1812
CID000004140,P6915
CID000004140,P4158
CID000004140,P4159
CID000004140,P11250
CID000004140,P1814
CID000004140,P8484
CID000004140,P81491
CID000004140,P83551
CID000004140,P680
CID000004140,P11255
CID005311297,P10800
CID000005381,P5915
CID000005381,P5914
CID000005381,P5916
CID000216239,P3717
CID000216239,P3716
CID000216239,P147746
CID000216239,P3718
CID000216239,P660
CID000216239,P28996
CID000216239,P6725
CID000216239,P3654
CID000216239,P3656
CID000216239,P23617
CID000216239,P6714
CID000216239,P2322
CID000216239,P2321
CID000216239,P7301
CID000216239,P2324
CID000216239,P4145
CID000216239,P9833
CID000216239,P51265
CID000216239,P3791
CID000216239,P51776
CID000216239,P11183
CID000216239,P3480
CID000216239,P5753
CID000216239,P83942
CID000216239,P2263
CID000216239,P10114
CID000216239,P3643
CID000216239,P6794
CID000216239,P6795
CID000216239,P6793
CID000216239,P6790
CID000216239,P25
CID000216239,P7525
CID000216239,P9578
CID000216239,P5159
CID000216239,P6850
CID000216239,P10733
CID000216239,P5157
CID000216239,P5156
CID000216239,P5607
CID000216239,P5600
CID000216239,P11035
CID000216239,P53834
CID000216239,P2268
CID000216239,P81629
CID000216239,P369
CID000216239,P7535
CID000216239,P8737
CID000216239,P23178
CID000216239,P2261
CID000216239,P80122
CID000216239,P6300
CID000216239,P2264
CID000216239,P84451
CID000216239,P1452
CID000216239,P2444
CID000216239,P3815
CID000216239,P10595
CID000216239,P2932
CID000216239,P2931
CID000216239,P283629
CID000216239,P11213
CID000216239,P197259
CID000216239,P10420
CID000216239,P10221
CID000216239,P23097
CID000216239,P1436
CID000216239,P2047
CID000216239,P2044
CID000216239,P2042
CID000216239,P2043
CID000216239,P2041
CID000216239,P4294
CID000216239,P4296
CID000216239,P2048
CID000216239,P2049
CID000216239,P640
CID000216239,P5979
CID000216239,P167359
CID000216239,P4233
CID000216239,P415116
CID000216239,P3645
CID000216239,P11040
CID000216239,P9212
CID000216239,P7016
CID000216239,P4342
CID000216239,P7010
CID000216239,P2051
CID000216239,P2050
CID000216239,P4067
CID000216239,P51347
CID000216239,P51135
CID000216239,P2046
CID000216239,P57551
CID000216239,P284656
CID000216239,P7294
CID000216239,P7297
CID000216239,P225689
CID000216239,P5894
CID000216239,P1432
CID000216239,P7006
CID000216239,P1024
CID000216239,P57761
CID000216239,P1022
CID000216239,P28951
CID000216239,P4593
CID000216239,P83983
CID000216239,P6198
CID000216239,P2081
CID000216239,P558
CID000216239,P5292
CID000216239,P4293
CID000216239,P55872
CID000216239,P30811
CID000216239,P8569
CID000216239,P4921
CID000216239,P1969
CID000216239,P7075
CID000216239,P285220
CID000216239,P51086
CID000216239,P1445
CID000216239,P2872
CID000216239,P892
CID000216239,P55359
CID000216239,P3357
CID000216239,P54101
CID000216239,P10461
CID000216239,P3702
CID000216239,P3055
CID000216239,P3358
CID000216239,P51701
